Проект,Категории,Цена,Заявки
Разработка корпоративного сайта на CMS Joomla,Сайты «под ключ»,$500,указан
Разработать векторное изображение по растру.,Иллюстрации и Рисунки,,9
Правка joomla 3 модуля,Системы управления (CMS),,3
Работа с кодом блога,HTML-верстка,$9,2
Логотип и обозначение фирменного стиля компании,Логотипы и Знаки,$40,13
Верстка HTML страницы,HTML-верстка,$40,2
Разработка фирменного стиля,Фирменный стиль,$50,18
Создание интернет-магазина,Дизайн сайтов,,44
Написать уникальный текст,Копирайтинг,,20
Небольшие правки на wordpress,Системы управления (CMS),,9
EMAIL рассылка,Социальные сети (SMM и SMO),,8
Написание программы для автоматизации цен интернет магазина,Прикладное ПО,,6
Скопировать анимационные картинки,Веб-программирование,,2
Решить проблему с отображением сайта на  Joomla,Системы управления (CMS),,7
Написание статей туризм,Копирайтинг,,22
Найти проблему в коде и исправить Prestashop,Веб-программирование,,2
Нужно установить модуль для Opencart,Системы управления (CMS),$5,1
Чеки с кассы Verifone на сотовый,ПО для мобильных устройств,,5
Озвучка 60 видеороликов. Языки русский и английский,Озвучивание,,28
Интернет-магазин на Битрикс,Веб-программирование,,2
Требуется перенести этот лендинг dreamdom.info на Wordpress,Веб-программирование,,4
Нужен интернет магазин автошин и дисков.,Интернет-магазины,,15
Доработка сайта на Битрикс,Веб-программирование,,2
Подготовить контент для Вк салону красоты,Редактирование и Корректура,,14
Приложение для Android/iOS,ПО для мобильных устройств,,11
Нужен опытный PHP программист на аграрный портал,Веб-программирование,,7
Статьи для медсайта.,Копирайтинг,,42
Дизайн для справочника,Дизайн сайтов,,33
Создание этикетки,Дизайн продукции,,10
Поправить адаптив и другое внесение правок MODx,Системы управления (CMS),,2
Разработать программу рисования  объектов в прямоугольной области.,Прикладное ПО,,4
Из верстки в WordPress,Системы управления (CMS),,14
Скрипт попап,Веб-программирование,,9
Вычитать ошибки в текстах,Копирайтинг,,19
Раскодировать файл,Веб-программирование,,3
Переписать документацию из Doc в RAML,Веб-программирование,,1
Нужно сайт с Битрикса перенести на WordPress,Сайты «под ключ»,,7
Описания товаров для интернет-магазинов,Копирайтинг,,59
"Курсовой проект ""Товарознавча характеристика горилки""","Рефераты, Курсовые и Дипломы",,3
"Копирайт право, бух учет",Копирайтинг,,8
Разработка мобильного приложения,ПО для мобильных устройств,,12
Необходимо отрисовать дизайн для лендинга,Дизайн сайтов,,52
Консультация по профессиональным терминам стоматологии,Копирайтинг,,1
Сайт на WP,Системы управления (CMS),,7
Сверстать и натянуть на вордпресс 2 проекта,HTML-верстка,,указан
Копирайтер для интернет-магазина электронных сигарет,Копирайтинг,,7
Скрипт авторизации в мамбе,Веб-программирование,,6
Django-разработчик,Веб-программирование,,2
Переподвязать платежную систему 2chekout к backend Yii 2,Веб-программирование,,3
Интернет-магазин на CMS Magento,Интернет-магазины,$800,1
Сотрудник тех. поддержки,Служба поддержки,,17
Оформить электронную книгу,Редактирование и Корректура,,9
"Сделать презентацию ""Инфо-графика проекта""",Презентации,,9
Требуется реализовать парсер с привязкой к интерфейсу,Веб-программирование,,1
Проработать фирменного героя,Иллюстрации и Рисунки,,указан
Написать техническое задание [скопировать проект],Веб-программирование,,1
Нужно создать два шаблока под Wordpress,Веб-программирование,$120,1
SEO оптимизация сайта модельного агентства,Поисковые системы (SEO),,16
Внедрение CRM,Системное администрирование,,3
Для владельцев ЭКШН КАМЕР,Копирайтинг,,6
Верстка лендинга,HTML-верстка,$30,22
Создать калькулятор для сайта Wordpress,Веб-программирование,,10
"Найти 15 лэндингов по тематике ""кровля, фасады""",Наполнение сайтов,,указан
Требуется копирайтер для ИМ Сантехники,Копирайтинг,,16
Внести изменения на страницу. Вёрстка,HTML-верстка,,4
Доработать галерею на Joomla,Системы управления (CMS),,указан
Внести правки на живом сайте (поиск фронт енд разработчика),HTML-верстка,,4
Требуется создать или доработать сайт,Веб-программирование,,4
Интеграция CMS на CodeIgniter с retailcrm по API.,Веб-программирование,$70,4
Рерайт статей туристической тематики,Копирайтинг,$10,39
"Маскот для турагентства ""Белый мишка""",Логотипы и Знаки,,20
Информационный дизайн корпоративного сайта,Дизайн сайтов,$240,50
Нужно сделать обмен данными из УНФ в 1с бухгалтерия,Веб-программирование,,7
Разработка Корпоративного сайта,Веб-программирование,,3
Править цены на сайте,Наполнение сайтов,,24
Требуется написать личный кабинет пользователя и связать с Битрикс24,Веб-программирование,,2
Список работ по сайту на WP: оптимизация под PageSpeed и т.д.,Веб-программирование,,2
Нужно  описание   лекарсв  для сайта,Копирайтинг,,11
Разработка логотипа для творческой мастеской,Логотипы и Знаки,,33
Требуется сделать несложную анимацию,Анимация,,7
Скопировать невидимую флэшку СКБ Контур,Прикладное ПО,$20,3
Продвижение сайта,Поисковые системы (SEO),,54
Сделать сайт по примеру,Веб-программирование,,7
Редактирование прайса excel преобразовать в CSV-файл,Наполнение сайтов,$20,8
Сделать меню группы вконтакте,Социальные сети (SMM и SMO),,8
Дизайн лендинга по прототипу,Дизайн сайтов,$75,43
Собрать телефоны с авито,Веб-программирование,$2,4
Внести правки на сайт в cms joomla,Веб-программирование,,4
Найти подходящую тему для Landing Page,Дизайн сайтов,,7
Публикация в ВК через cron,Веб-программирование,,5
Дизайн для Web-студии.,Дизайн сайтов,,31
Для английского текста подобрать синонимы,Переводы,,4
Написать прошивку для автомата по продаже воды (arduino),Встраиваемые системы,,3
Открывашка сайтов,Веб-программирование,,2
"Установка dkim и проверка spf, dmarc",Системное администрирование,,11
Необходимо создать сайт для производственной системы,Сайты «под ключ»,,11
Публикация отзывов на сайтах,Наполнение сайтов,,6
Оформления бизнес страницы фейсбук и лендинг инстаграм,Дизайн сайтов,$40,5
Сделать простенькую страницу на основе Wordpress,Системы управления (CMS),,5
Передача заявок из Opencart по API,Веб-программирование,,4
Починить оплату через Robokassa на сайте.,Веб-программирование,,3
Доработка сайта на WordPress,Дизайн сайтов,,7
"Рерайт 500,000 збп +/-",Копирайтинг,,12
Убрать ID новости из URL адреса публикации на DLE,Веб-программирование,,2
Seo-оптимизация интернет-магазина,Поисковые системы (SEO),,16
Сделать авторизацию через curl на сайте,Веб-программирование,,8
Перевод на китайский язык,Переводы,,16
Ruby разработчик,Веб-программирование,,2
Создание промо ролика для приложения,Видеомонтаж,,6
Нужен автоматический анализатор длительности видеофайлов,Прикладное ПО,,6
Нужно нарисовать дизайн под бирдекель в кореле для лазерного станка.,Дизайн сайтов,,1
Внести по ТЗ на движке wordpress следующие файлы,Веб-программирование,,1
Нужно сдделать макет  евро буклета,Верстка полиграфии,,19
Настройка гугл аналитики,Поисковые системы (SEO),,3
Создание экшн промо ролика к спортивной программе,Видеомонтаж,,10
Настройка роутера Live Box и видеорегистратора,Системное администрирование,,10
Верстка шаблона. Вывод материалов.,HTML-верстка,,указан
Проект голосования на Laravel,Веб-программирование,,1
HTML5 Баннер,HTML-верстка,,17
Брошюра,Дизайн продукции,,15
Брошюра,Дизайн продукции,,15
Настройка кампании Яндекс.Директ,Контекстная реклама,,11
Сайт Wordpress,Веб-программирование,,6
Нужно сейчас подцепить bootstrap admin template,Веб-программирование,,1
"Social Homepage. Интеграция на сайт лент из FB, Instagram и др.",Веб-программирование,,2
Скопировать БД с сайта,Веб-программирование,,9
Установить платежную систему wayforpay на сайт,Веб-программирование,,2
Размещение отзывов на разных площадках,Наполнение сайтов,,3
Оформление группы вконтакте,Дизайн сайтов,,6
Продвинуть сайт в яндексе по cs 1.6,Поисковые системы (SEO),,8
Добавить товар,Наполнение сайтов,,34
Контекстная реклама,Контекстная реклама,,20
Сметная документация,Бухгалтерские услуги,,2
Доработка отображения времени открытия точки,Системы управления (CMS),,3
Решить 4 задачи по пределам,"Рефераты, Курсовые и Дипломы",,3
"Написание авторских статей, рерайт тематических статей. Мужское издан.",Копирайтинг,,17
Отзывы / Комментарии,Социальные сети (SMM и SMO),,3
Подключение к платежным системам,Веб-программирование,,1
Сайт-визитка,Сайты «под ключ»,$250,35
Интегрировать на сайт API Depositphotos,Веб-программирование,,1
Доработать сайт на yii2,Веб-программирование,,3
Интеграция сайта БИТРИКС МБ с 1С УТ Каталогом,Веб-программирование,,3
Лента rss-новостей,Веб-программирование,$10,указан
Конверсионный лендинг,Дизайн сайтов,$50,6
Магазин под ключ на CMS Битрикс,Интернет-магазины,,11
Есть лендинг. Нужно сделать адаптивную верстку под мобильные/планшеты,HTML-верстка,,22
Сайт службы такси,Сайты «под ключ»,,27
Создать дизайн внутренней страницы согласно имеющегося шаблона,Дизайн сайтов,,27
Написать ТЗ копирайтеру по SEO-оптимизации страниц,Копирайтинг,,1
Нужен лендинг,Сайты «под ключ»,,23
Диплом – Валютный контроль в РФ на примере банка,"Рефераты, Курсовые и Дипломы",,5
Нужно скопировать или сделать подобный лендинг,Веб-программирование,$50,15
Поправить сайт,Веб-программирование,,3
Программу на Паскале переписать на Перле,Прикладное ПО,,1
Требуется перевод,Переводы,$8,32
Joomla + php,Системы управления (CMS),,5
Разработка слайдов для презентации PowerPoint,Презентации,,29
Дизайн для интернет-магазина,Дизайн сайтов,,48
Сделать сайт на конструкторе NetHouse,Веб-программирование,$10,3
Написание текстов для Интернет магазина дорогой обуви,Копирайтинг,,32
Верстка макета из PSD,HTML-верстка,,указан
Google Chrome. Расширение и гугл сторе.,Веб-программирование,$15,2
Написание статей для сайта студии лазерной эпиляции,Копирайтинг,,15
Лендинг бесплатная юридическая консультация,Веб-программирование,$50,указан
Дизайн сайта (блога) на WordPress,Дизайн сайтов,,указан
Скрипт,Веб-программирование,,2
"Копирайтер для создания контент маркетинга, отрасль интернет маркетинг",Копирайтинг,,6
Нужно доделать сайт на опенкарт,Системы управления (CMS),$20,6
Сделать сайт,Сайты «под ключ»,$50,6
Интеграции клиентского приложения на JAVA с API.,Системы управления (CMS),$270,1
Продвижение многоязычного сайта на Европу,Поисковые системы (SEO),,5
Верстка лендинга,HTML-верстка,$100,указан
Перенос сайта motoya.ru на Shop-Script 6,Системы управления (CMS),,2
Создание приложения на iOs|Android,ПО для мобильных устройств,,13
SEO оптимизация и аудит,Поисковые системы (SEO),,10
Настроить функцию поиска по полям компонента Неткат.,Веб-программирование,,2
Отрисовка картинки,Иллюстрации и Рисунки,,12
Расширение Google Chrome,Прикладное ПО,,2
Нужен иллюстратор для отрисовки рисунков в карикатурном/мультяшн стиле,Иллюстрации и Рисунки,,8
Массовый импорт в WordPress и настройка вывода (300 тысяч строк),Веб-программирование,$25,3
Массовый импорт в WordPress и настройка вывода (300 тысяч строк),Веб-программирование,$25,3
Правки сайта Битрикс,HTML-верстка,,2
Составить комм.предложение,Копирайтинг,,5
Проверка английских названий фильмов в ексель файле,Редактирование и Корректура,,16
Нарисовать новые уникальные картинки для каталога сайта,Иконки и Пиксель-арт,$16,6
Доделать сайт на WP,Сайты «под ключ»,,7
Почистить сайт от вирусов,Веб-программирование,,11
Требуется скриптер,Веб-программирование,,15
Исправить ошибки на сайте,Веб-программирование,,3
Копирайт текстов для сайта активного отдыха.,Копирайтинг,,9
Добавить сведения о торговых центрах в различные города России,Наполнение сайтов,,3
Реферат по культурологии.,"Рефераты, Курсовые и Дипломы",,9
База данных с подгрузкой из excell,Базы данных,,указан
Перевод сайтов на Битрикс,Системы управления (CMS),,2
Размещение объявлений на Avito,Наполнение сайтов,,11
"Доработка интернет магазина на Битрикс, адаптивная верстка.",Веб-программирование,,нет
Правки на битрикс,Системы управления (CMS),$30,1
Дизайн веб сайта для системы заказов,Дизайн сайтов,,22
Требуется переделать лого,Логотипы и Знаки,,18
Настроить внешний вид шаблона viruemart 3,Веб-программирование,,4
"Сбор СЯ, групировка по разделам сайта, ТЗ для копирайтера",Поисковые системы (SEO),,5
"Верстка, адаптация к Wordpress, настройка плагинов и форм",HTML-верстка,,7
Задачка по созданию YML файла,Веб-программирование,,3
Контент,Наполнение сайтов,,8
Скрипт отслеживания просмотра email,Веб-программирование,,1
Парсер данных из txt файла,Прикладное ПО,,36
CMS 1C-Bitrix: Правка верстки на сайте и редактирование страниц,HTML-верстка,,указан
Тексты-seo 15-20 страниц по 4500знбп. 1 ключ на страницу,Копирайтинг,$120,указан
Доработка сайта на битриксе,HTML-верстка,,1
Сделать кнопку для сайта!,Веб-программирование,,6
Нужно оформить группу в контакте,Дизайн сайтов,,8
FaceBook Api,Веб-программирование,,2
Разработать аналог,Веб-программирование,,4
Персонализированный чат для ОС андроид,Веб-программирование,,3
Написание сео текста для сайта адвоката,Копирайтинг,,15
Изменения в Opencart 2,Веб-программирование,,1
Отредактировать вопросы пациентов и ответы врачей,Редактирование и Корректура,,15
Верстка через JS и JSON,Веб-программирование,$30,3
Спарсить отделения банков,Веб-программирование,,8
Перенести сайт на хостинг,Веб-программирование,,7
Адаптировать ichat DLE php5.6,Веб-программирование,,3
Настройка и разработка Captive Portal для wi-fi + лендинг,Веб-программирование,,1
Подверстать примитивный HTML шаблон на Bootstrap к фирменному стилю,HTML-верстка,$50,6
Синхронизировать Битрикс24 и Google Contacts,Веб-программирование,,2
Требуется доработать сайт на CMS Drupal,Системы управления (CMS),,6
Верстка под WP [интересный проект],Системы управления (CMS),$250,указан
Модуль для проведения розыгрыша призов на сайте (1С:Битрикс),Веб-программирование,,3
Аналог сайта,Сайты «под ключ»,,1
Написать ТЗ копирайтеру по SEO-оптимизации страниц,Поисковые системы (SEO),,6
Программа заказа автозапчастей,Прикладное ПО,,2
Вкладыши,Дизайн продукции,,17
Свободный вертальщик,HTML-верстка,,22
Доработки адаптивности на сайте. Битрикс,HTML-верстка,,1
Разработка дизайна сайта.,Дизайн сайтов,,23
Доработка и устранение багов и-м на Opencart 2,Веб-программирование,$140,6
Сайт-каталог на Битриксе,Веб-программирование,,6
Доработать сайт на нём много ошибок.,Веб-программирование,,3
Требуется фронт енд часть для проекта. BackboneJS / MarionetteJS,Веб-программирование,,нет
Синхронизация по API c VK.COM и AMOCRM.RU,Веб-программирование,,1
Нужен программист на php,Веб-программирование,,2
Разработка личного кабинета на Вордпресс для учебного центра,Веб-программирование,,2
Строительство,Копирайтинг,,2
"Убрать дубли в ""Контактах"" приложение WebAsyst",Веб-программирование,,нет
Лендинг только на Tilda. ТЗ есть,Сайты «под ключ»,$100,2
Разработка чат-ботов,Веб-программирование,,5
Приложение такси по функционалу как Indriver,ПО для мобильных устройств,,8
Проект на WordPress (WooCommerce),Веб-программирование,,2
Нужны готовые магазины на OPEN CART,Интернет-магазины,,5
Наполнить сайт (Wordpress) прогнозами на футбол и хоккей.,Наполнение сайтов,$12,3
Нейминг бренда одежды,Нейминг и Слоганы,$46,79
Разработка или копия сервиса по раскрутке инстаграм аккаунтов,Веб-программирование,,3
Анализ рынка,Поисковые системы (SEO),,8
Реализация мобильного приложения для iPad,ПО для мобильных устройств,,8
Сделать такой функционал в ИМ (движок не важен),Веб-программирование,,5
Разработка плагина на CMS Wordpress,Веб-программирование,,4
Нужен программист для заливки исходников с Фотошоп PSB на сайт,Веб-программирование,$40,1
Нужен эксперт по wordpress,Системы управления (CMS),,8
"Доработать дизайн интерьера, отрисовать в 3Д. Стиль Контемпорари.",Интерьеры и Экстерьеры,,29
UI/UX Design. Разработка интерфейса Кабинета Пользователя,Интерфейсы игр и программ,,10
Обновить UI/дизайн интернет-магазина,Дизайн сайтов,,указан
"Ищу человека, который умеет готовить и может снимать процесс на видео",Видеомонтаж,,9
Создать в WordPress копию сайта,Системы управления (CMS),,указан
Нужно сделать посадочую страницу,Веб-программирование,,8
Переписать код формы на Java язык,Веб-программирование,,1
Оптимизация архитектуры и кода программного продукта,Прикладное ПО,,2
Ищу программиста-верстальщика на OpenCart 1.5,Веб-программирование,,2
Запрограммировать мультиязычность лендингу на 15-30 языков,Веб-программирование,,2
Написать текст на лендинг. Настоящий продающий текст.,Копирайтинг,,10
Сделать дизайн реально крутой и удобной регистрации,Дизайн сайтов,,7
Редизайн юридического сайта.,Дизайн сайтов,,указан
Парсер товаров с определенной категории,Веб-программирование,,6
Yii2 Интерактивный визард для парсера,Веб-программирование,,1
Нужен консультант по laravel 5.3 + vuejs,Веб-программирование,,1
Разработка CRM для агентства недвижимости,Веб-программирование,,4
"Нужно создать логотип для вконтакте, баннер, прайс лист",Логотипы и Знаки,,20
Курсовая по Отпуск лек.средств,"Рефераты, Курсовые и Дипломы",,3
Курсовая по Философии,"Рефераты, Курсовые и Дипломы",,9
"Логотип ""Я центр мира""",Логотипы и Знаки,$60,32
Перевод русск/франц,Переводы,,24
E-mail рассылка,Социальные сети (SMM и SMO),,10
Артикулы и учет товара в Webasyst Shop Script 7,Веб-программирование,,1
Описания фильмов и сериалов,Копирайтинг,,7
JFSale,Интернет-магазины,,указан
Магазин мебели opencart,Интернет-магазины,,21
Изменить дизайн сайта,Дизайн сайтов,,12
Нужны качественные тексты,Копирайтинг,,26
Написать план,Финансовые услуги,,4
Аудит программного кода на node js,Тестирование сайтов,,1
Новостной Сайт На DLE Под Ключ,Сайты «под ключ»,,6
Одностраничник - landing page,Сайты «под ключ»,$100,53
Написать калькулятор займа для сайта,Веб-программирование,,2
Нужно разработать макет Landing Page,Дизайн сайтов,,48
СЕО оптимизация,Поисковые системы (SEO),,23
Написать модуль API для OpenCart,Интернет-магазины,,3
Верстка PSD -> HTML,HTML-верстка,,58
Социальная сеть для родителей (укр) - Yii 2,Веб-программирование,$5000,14
Создание сайта-визитки,Веб-программирование,$80,18
Сделать модели 5 зданий,Интерьеры и Экстерьеры,,19
Написание программы на С++,Прикладное ПО,,6
Создать дизайн значка в векторе,Дизайн продукции,,17
Необходимо нарисовать дизайн лендинга,Дизайн сайтов,,33
Сайт концертной площадки,Сайты «под ключ»,,14
Привлечение подписчиков в группу ВКонтакте,Социальные сети (SMM и SMO),,6
Визуализация данных,Прикладное ПО,,2
Настройка таргетинговой рекламы в фейсбуке,Контекстная реклама,,5
Разработка логотипа,Логотипы и Знаки,,37
Написать SEO описание категории c ключевыми словами.,Поисковые системы (SEO),$7,5
Редизайн раздела сайта,Дизайн сайтов,,8
"Специалист SMM, игровая студия в Индии",Социальные сети (SMM и SMO),,2
Копия интернет-магазина,Веб-программирование,,5
Разработка сайта на Битрикс,Веб-программирование,,3
Необходимо реализовать сайт на Wordpress,Веб-программирование,,5
"Сделать сайт на cms Wordpress, верстка уже готова",Веб-программирование,,3
Редирект на мобильную версию сайта на Битрикс,Веб-программирование,,1
Необходимо отрисовать танк контейнер в 5 положениях,Иллюстрации и Рисунки,,8
Привлечение подписчиков в соцсетях,Социальные сети (SMM и SMO),,10
Верстка на wp,HTML-верстка,,8
Сделать эскиз брендированного авто,Наружная реклама,,4
Натяжка биртикс.,Системы управления (CMS),$800,указан
"Дизайн футболок , кофт, пакетов",Дизайн продукции,$150,10
"Дизайн футболок , кофт, пакетов",Дизайн продукции,$150,10
Создать (проект) сайт под ключ b2b,Сайты «под ключ»,,10
Доработка сайта на 1с-Битрикс,Системы управления (CMS),,2
"Переделка шаблона Wordpress (работа с JS, AJAX)",Веб-программирование,,нет
Сделать эскиз наклейки на заднее стекло.,Дизайн продукции,,8
"Интегрировать верстку многостраничника в Drupal, настроить, запустить",Системы управления (CMS),,1
Настройка превью minishop2 на modx,Системы управления (CMS),,4
Небольшие работы по JavaScript,Веб-программирование,$15,11
Написать ТЗ копирайтеру по SEO-оптимизации страниц,Поисковые системы (SEO),,7
Разработка шаблонного сайта,Дизайн сайтов,,20
Брошюра,Верстка полиграфии,,17
Доработка проекта на CodeIgniter,Веб-программирование,,3
Лендинг в один экран - дизайн и верстка с фишкой,Дизайн сайтов,,10
Друзья на страничку ВК,Социальные сети (SMM и SMO),,8
Сверстать страницу для проекта,HTML-верстка,$20,5
Анализ и продвижение сайта,Поисковые системы (SEO),,16
Внедрить reCapatcha на сайт,Веб-программирование,,6
Аудит действующих сайтов  и создание единого на основе Битрикс24,Сайты «под ключ»,,9
Создание вебсайта для производственной системы,Веб-программирование,$1400,4
Нужна помощь в составлении коммерчекого предложения,Копирайтинг,,3
Интегрировать вёрстку на Битрикс,Системы управления (CMS),,3
Landing page,Дизайн сайтов,,47
Перевод с испанского статей футбольной тематики,Переводы,,19
Вывод материалов по другому шаблону,Веб-программирование,,нет
Дизайн письма и дизайн баннера,Дизайн сайтов,,13
Разработка Bot для Telegram,Веб-программирование,,6
Создание  лендинга,Дизайн сайтов,,34
Флаер,Дизайн продукции,,20
Ищем директолога профессионала для создания 50 РК,Контекстная реклама,,9
Разработать тему WordPress на основе уже нарисованного дизайн-шаблона,Дизайн сайтов,,3
Создание сайта,Сайты «под ключ»,,25
Сайт под ключ,Веб-программирование,,9
Приложение ВКонтакте+компонент для Jooomla,Веб-программирование,,1
Верстка лендинга,HTML-верстка,,20
"Изменение шаблона внутренней страницы, сайт на Битрикс, Bitrix cms",Дизайн сайтов,,6
[PHP] Сайт прогнозов погоды,Веб-программирование,,указан
Парсер каталога,Веб-программирование,,10
Перенести сайт с движка phpshop на Битрикс,Системы управления (CMS),,3
Исправить - робот яндекс директ не видит сайт на платформе гугла,Веб-программирование,,1
Нужен лендинг с текстом,Дизайн сайтов,,30
Раскрутка группы вконтакте,Социальные сети (SMM и SMO),,14
Перенести с Директа в Adwords,Контекстная реклама,$5,9
Необходимо разработать дизайн сайта и мобильного для аграрной компании,Дизайн сайтов,,указан
Распределенная система контроля доступа и местоположения,Прикладное ПО,,2
Есть 2 сайта на OpenCart перенести корректно и отобразить данные,Системы управления (CMS),,1
Размещение объявлений,Наполнение сайтов,,11
Контент-менеджер вордпресс,Наполнение сайтов,,5
Нужно написать скрипт платной консультации через sip телефонию,Веб-программирование,,1
Технические правки на сайт,Веб-программирование,,указан
Есть сайт нужно согласно списку правок написать стили,HTML-верстка,,4
Новогодняя открытка для партнеров,Дизайн продукции,$5,14
Обтравить 85 фотографий (еда на тарелках для меню ресторана),Обработка фотографий,,59
Настроить прокси сервер,Системное администрирование,$4,17
Интеграция OpenCart в Битрикс,Системы управления (CMS),,1
Создание шапки для Youtube-канала,Дизайн сайтов,,12
Раскрутка проекта,Поисковые системы (SEO),,7
Сделать копию сайта,Сайты «под ключ»,,9
Доверстать главную а может и весь сайт,HTML-верстка,,3
Оформить группу вконтакте,Социальные сети (SMM и SMO),,31
Адаптивная версия макетов,Дизайн сайтов,,21
Настроить фейсбук рекламу,Социальные сети (SMM и SMO),$14,1
Создать картику для инстаграмма,Иллюстрации и Рисунки,,указан
Шаблон ценников в ворд и exel,Дизайн продукции,,указан
Нарисовать дизайн сайта,Дизайн сайтов,,14
Увеличение ссылочной массы сайта,Поисковые системы (SEO),,10
Автопостинг на agrobazar.ru,Веб-программирование,,4
Social Network,Социальные сети (SMM и SMO),,нет
Курсовая работа.Организация производства и менеджмент.,"Рефераты, Курсовые и Дипломы",,2
Доработка текстов,Редактирование и Корректура,,53
Нужен эксперт по ModX,HTML-верстка,,6
Программист Code Igniter,Веб-программирование,,2
Визитка | Транспортные услуги по перевозке людей автобусами,Дизайн продукции,$20,5
"Ведение паблика вк - наполнение информацией, таргетинг",Социальные сети (SMM и SMO),,3
Разработка онлайн информационной системы,Системное программирование,,3
Макрос Exсel или WEB-Tools для создания документации,Базы данных,,6
Очистка сайта от вирусов,Системное администрирование,,20
Попап-скрипт для плагина в блоге Вордпресс,Веб-программирование,,указан
Верстка и натяжка на wordpress или opencart,HTML-верстка,,11
Нужен логотип для интернет-магазина горнолыжных товаров,Логотипы и Знаки,,35
Скопировать лендинг на конструктор bloxy.ru,Веб-программирование,,1
Скопировать лендинг на конструктор bloxy.ru,Веб-программирование,,1
Модуль поиска вконтакте для DLE,Системы управления (CMS),,нет
Необходимо сделать программную функциональную часть,Веб-программирование,,2
Требуется медицинский эксперт!,Копирайтинг,$16,указан
Продвижение вопросника,Социальные сети (SMM и SMO),,5
Создание нейронной сети,Веб-программирование,$2000,4
Заполнение интернет-каталога,Наполнение сайтов,,39
Аватарка для VK,Иконки и Пиксель-арт,,9
Перейти с Joomla 1.5 до версии  Joomla 3.6.2,Системы управления (CMS),,3
PHP-программист YII 2 / PHP developer,Веб-программирование,$1200,9
Joomla 3 + Virtuemart 3.,Системы управления (CMS),,1
Написать статью-обзор инструмента по тестированию ПО,Копирайтинг,,нет
Написать Api,Прикладное ПО,,нет
Импорт товаров в Woocommerce из csv / xml + настройка cron,Системы управления (CMS),$5,2
Разработка модуля для интернет магазина на OpenCart,Веб-программирование,,2
Необходимо написать парсер для букмекерского сайта,Веб-программирование,,4
"Нужна доработка к продукту Сайт Управляющей компании, Битрикс",Веб-программирование,,4
"Изменить корзину, cms Prestashop.",Веб-программирование,,4
Нужно нарисовать иконки,Иконки и Пиксель-арт,,указан
Доработать скрипт парсинка Яндекс Каталога (PHP),Веб-программирование,$1500,указан
"Сделать видео для раздела на сайте ""как это работает""",Видеомонтаж,,12
Требуется программист iOS Swift для внедрения видео звонков,ПО для мобильных устройств,,1
Запись приветствия для голосового меню,Озвучивание,,19
Реклама сайта в социальных сетях,Социальные сети (SMM и SMO),,10
Изготовить макет,Верстка полиграфии,,11
Оптимизация мобильной версии (wordpress),Системы управления (CMS),$25,указан
Автоматизация действий с помощью Corezoid,Веб-программирование,,1
Переделать верстку сайта на адаптивную - сайт на wordpress,HTML-верстка,,13
Курсовая лексикология,"Рефераты, Курсовые и Дипломы",,3
Хороший перевод на англ (техническая тематика),Переводы,,32
"Графика и UI-элементы для корпоративного сайта, печатная реклама",Дизайн сайтов,,7
Разработка мобильного приложения такси,ПО для мобильных устройств,,6
Нужно написать видео отзыв,Видеомонтаж,,10
Клинап кадров для телефильма,Видеомонтаж,,6
